epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1714.02,0.84346,0.99719,1.23668,0.64799,0.63149,0.67769,0.51586,0.90745,1.18575,1.31362,0.0005941,0.0005941,0.0005941
43,1752.64,0.80642,0.91277,1.19956,0.71653,0.63895,0.70759,0.53863,0.89554,1.1874,1.27737,0.0005842,0.0005842,0.0005842
44,1791.95,0.79408,0.88385,1.18741,0.66472,0.62037,0.66989,0.50815,0.89776,1.1512,1.30883,0.0005743,0.0005743,0.0005743
45,1831.02,0.81201,0.93527,1.2035,0.69859,0.6095,0.70664,0.53657,0.92695,1.13408,1.32423,0.0005644,0.0005644,0.0005644
46,1874.46,0.78847,0.87659,1.18754,0.71734,0.6142,0.6933,0.53776,0.88495,1.11062,1.28303,0.0005545,0.0005545,0.0005545
47,1917.31,0.78778,0.88134,1.19129,0.79829,0.65737,0.7478,0.56075,0.94282,1.04159,1.32016,0.0005446,0.0005446,0.0005446
48,1959.36,0.76926,0.83323,1.1766,0.64062,0.701,0.70647,0.55304,0.90371,1.13547,1.3076,0.0005347,0.0005347,0.0005347
49,1995.58,0.77358,0.82777,1.17812,0.63927,0.71525,0.73843,0.56946,0.8955,1.04946,1.29086,0.0005248,0.0005248,0.0005248
50,2038.89,0.76849,0.85112,1.16929,0.72275,0.66172,0.75084,0.59044,0.84249,1.00083,1.22853,0.0005149,0.0005149,0.0005149
51,2080.78,0.75955,0.83693,1.17299,0.75741,0.71005,0.77176,0.59944,0.84324,0.98821,1.25055,0.000505,0.000505,0.000505
52,2122.02,0.74674,0.80778,1.16137,0.78419,0.63819,0.73497,0.58776,0.80973,1.06835,1.2266,0.0004951,0.0004951,0.0004951
53,2156.27,0.74241,0.79195,1.15859,0.74495,0.69356,0.74201,0.5759,0.84245,1.01801,1.26062,0.0004852,0.0004852,0.0004852
54,2197.3,0.74954,0.79303,1.16917,0.78837,0.62443,0.72527,0.56801,0.84855,1.03513,1.2441,0.0004753,0.0004753,0.0004753
55,2240.91,0.7449,0.80047,1.15452,0.74966,0.63837,0.7086,0.54872,0.86535,1.13026,1.25019,0.0004654,0.0004654,0.0004654
56,2282.1,0.76385,0.82673,1.15769,0.68977,0.68539,0.72211,0.55719,0.8654,1.07972,1.25503,0.0004555,0.0004555,0.0004555
57,2321.82,0.73962,0.78046,1.16426,0.68631,0.67973,0.72124,0.5602,0.87687,1.07101,1.31119,0.0004456,0.0004456,0.0004456
58,2364.34,0.73273,0.74333,1.15721,0.75514,0.6752,0.74536,0.57945,0.86976,1.08706,1.27512,0.0004357,0.0004357,0.0004357
59,2407.79,0.69243,0.72789,1.1354,0.67627,0.626,0.68981,0.53701,0.86218,1.16394,1.3002,0.0004258,0.0004258,0.0004258
60,2450.45,0.71417,0.74576,1.14611,0.78053,0.62245,0.71239,0.56372,0.84341,1.11129,1.28445,0.0004159,0.0004159,0.0004159
61,2491.52,0.72092,0.74734,1.15392,0.71431,0.65043,0.69843,0.55834,0.81525,1.11976,1.22128,0.000406,0.000406,0.000406
62,2531.14,0.70628,0.72373,1.13458,0.69821,0.69812,0.73466,0.56701,0.80484,1.02857,1.24687,0.0003961,0.0003961,0.0003961
63,2570.12,0.70663,0.72601,1.14336,0.67506,0.67148,0.72164,0.56142,0.83562,1.04443,1.2687,0.0003862,0.0003862,0.0003862
64,2609.17,0.67828,0.71259,1.12415,0.72444,0.66992,0.72635,0.56407,0.85377,1.06028,1.29177,0.0003763,0.0003763,0.0003763
65,2650.63,0.68416,0.70481,1.13194,0.69135,0.69551,0.72402,0.56712,0.84193,1.07421,1.28255,0.0003664,0.0003664,0.0003664
66,2693.36,0.67374,0.68922,1.13182,0.74003,0.6872,0.76186,0.59104,0.84451,0.9871,1.25431,0.0003565,0.0003565,0.0003565
67,2733.25,0.70798,0.71099,1.14759,0.76208,0.65968,0.76361,0.59926,0.82806,1.0274,1.22265,0.0003466,0.0003466,0.0003466
68,2776.9,0.6734,0.68325,1.11829,0.76112,0.67001,0.76215,0.59583,0.85466,1.0066,1.25763,0.0003367,0.0003367,0.0003367
69,2818.31,0.68298,0.66646,1.11256,0.81691,0.6876,0.76807,0.60435,0.7895,0.98533,1.21504,0.0003268,0.0003268,0.0003268
70,2865.96,0.65449,0.66648,1.10444,0.65515,0.70883,0.73111,0.57868,0.80048,1.05414,1.21495,0.0003169,0.0003169,0.0003169
71,2907.24,0.63912,0.6578,1.10177,0.73426,0.72499,0.77064,0.61995,0.76287,0.97678,1.18307,0.000307,0.000307,0.000307
72,2950.49,0.65742,0.66204,1.11985,0.78095,0.64611,0.75177,0.59399,0.78266,1.03781,1.21483,0.0002971,0.0002971,0.0002971
73,2989.67,0.63321,0.64481,1.09033,0.80086,0.69284,0.79769,0.63262,0.77094,0.91229,1.20082,0.0002872,0.0002872,0.0002872
74,3034.55,0.64725,0.64601,1.10714,0.7186,0.71231,0.77724,0.62162,0.78675,0.90518,1.20522,0.0002773,0.0002773,0.0002773
75,3077.04,0.62688,0.63624,1.08678,0.71576,0.62578,0.72598,0.58298,0.79503,1.03495,1.20744,0.0002674,0.0002674,0.0002674
76,3124.89,0.63711,0.5996,1.09535,0.68949,0.75639,0.75852,0.60315,0.79456,0.9567,1.20249,0.0002575,0.0002575,0.0002575
77,3172.01,0.62332,0.59654,1.09184,0.6719,0.73561,0.76084,0.60321,0.83872,0.98156,1.24437,0.0002476,0.0002476,0.0002476
78,3220.69,0.64284,0.62159,1.10379,0.70706,0.75669,0.77969,0.61439,0.77748,0.96751,1.20425,0.0002377,0.0002377,0.0002377
79,3268.77,0.62342,0.59255,1.09092,0.74725,0.70891,0.78053,0.62196,0.79649,0.96358,1.22005,0.0002278,0.0002278,0.0002278
80,3312.69,0.58546,0.58336,1.07258,0.82083,0.68815,0.80148,0.64009,0.76629,0.91499,1.19019,0.0002179,0.0002179,0.0002179
81,3351.02,0.60051,0.57752,1.07617,0.80565,0.69708,0.78365,0.61742,0.80308,0.90714,1.2004,0.000208,0.000208,0.000208
82,3393.55,0.60444,0.56597,1.09083,0.71194,0.74026,0.78852,0.63265,0.76348,0.88919,1.17965,0.0001981,0.0001981,0.0001981
83,3439.39,0.59343,0.5534,1.06973,0.73366,0.75199,0.78953,0.63981,0.75224,0.8921,1.16354,0.0001882,0.0001882,0.0001882
84,3481.82,0.60876,0.54905,1.08188,0.75268,0.72458,0.80413,0.64227,0.75946,0.86791,1.1934,0.0001783,0.0001783,0.0001783
85,3524.8,0.58892,0.54886,1.06501,0.8356,0.69791,0.81889,0.65439,0.76225,0.83139,1.20457,0.0001684,0.0001684,0.0001684
86,3565,0.58071,0.53867,1.05793,0.7521,0.75398,0.81341,0.65476,0.74767,0.86279,1.19048,0.0001585,0.0001585,0.0001585
87,3612.61,0.59396,0.52421,1.06399,0.71882,0.75617,0.79799,0.64237,0.77867,0.90136,1.23423,0.0001486,0.0001486,0.0001486
88,3655.74,0.60092,0.54015,1.07533,0.75128,0.7679,0.8157,0.64785,0.79015,0.88185,1.24332,0.0001387,0.0001387,0.0001387
89,3699.84,0.57297,0.52248,1.05914,0.72393,0.76546,0.80328,0.63554,0.81674,0.88248,1.258,0.0001288,0.0001288,0.0001288
90,3741.88,0.56638,0.52524,1.06384,0.76048,0.76771,0.81282,0.64471,0.8008,0.87766,1.24956,0.0001189,0.0001189,0.0001189
91,3818.44,0.39647,0.32105,0.94653,0.72275,0.74954,0.7834,0.61429,0.79838,0.94141,1.25081,0.000109,0.000109,0.000109
92,3857.44,0.38669,0.29829,0.92897,0.78835,0.71753,0.79141,0.62416,0.7747,0.87332,1.22971,9.91e-05,9.91e-05,9.91e-05
93,3899.02,0.38604,0.28904,0.94008,0.82958,0.69177,0.79899,0.62403,0.7683,0.8703,1.22123,8.92e-05,8.92e-05,8.92e-05
94,3937.58,0.36014,0.26703,0.92035,0.7333,0.74636,0.79259,0.63058,0.76212,0.89997,1.22554,7.93e-05,7.93e-05,7.93e-05
95,3977.19,0.3596,0.27794,0.92071,0.72479,0.77405,0.80969,0.64262,0.75418,0.87858,1.22525,6.94e-05,6.94e-05,6.94e-05
96,4019.96,0.35327,0.26036,0.91173,0.7437,0.77071,0.82152,0.64716,0.76528,0.88708,1.23619,5.95e-05,5.95e-05,5.95e-05
97,4060.67,0.34679,0.24768,0.90756,0.84257,0.71728,0.82724,0.65512,0.7542,0.85677,1.23281,4.96e-05,4.96e-05,4.96e-05
98,4103.61,0.34123,0.25402,0.90449,0.82671,0.74058,0.83718,0.66465,0.75182,0.83885,1.2327,3.97e-05,3.97e-05,3.97e-05
99,4148.91,0.32709,0.24438,0.90148,0.79127,0.75512,0.83181,0.65844,0.74875,0.83243,1.22734,2.98e-05,2.98e-05,2.98e-05
100,4185.01,0.33624,0.24224,0.9128,0.80275,0.74695,0.83326,0.65861,0.74351,0.83843,1.20926,1.99e-05,1.99e-05,1.99e-05
